"Park1","Park2","distance","duration","origin","destination","status"
"Banning State Park MN","Blue Mounds State Park MN","448484","17543","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Blue Mounds State Park, 1410 161st St, Luverne, MN 56156, USA",TRUE
"Banning State Park MN","Buffalo River State Park MN","328393","12863","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA",TRUE
"Banning State Park MN","Camden State Park MN","360045","14204","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Camden State Park, 1897 Camden Park Rd, Lynd, MN 56157, United States",TRUE
"Banning State Park MN","Carley State Park MN","293124","10136","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Carley State Park, 50366 County Rd 4, Plainview, MN 55964, USA",TRUE
"Banning State Park MN","Cascade River State Park MN","262250","10020","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Cascade River State Park, West, 3481 Minnesota 61, Lutsen, MN 55612, United States",TRUE
"Banning State Park MN","Charles A. Lindbergh State Park MN","151830","6230","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Charles A. Lindbergh State Park, 1615 Lindbergh Dr S, Little Falls, MN 56345, USA",TRUE
"Banning State Park MN","Crow Wing State Park MN","144836","5860","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Crow Wing State Park, 3124 State Park Rd, Brainerd, MN 56401, USA",TRUE
"Banning State Park MN","Father Hennepin State Park MN","62840","2597","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Father Hennepin State Park, 41296 Father Hennepin Park Rd, Isle, MN 56342, USA",TRUE
"Banning State Park MN","Flandrau State Park MN","309787","11233","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Flandrau State Park, 1300 Summit Ave, New Ulm, MN 56073, USA",TRUE
"Banning State Park MN","Forestville/Mystery Cave State Park MN","337605","11783","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Forestville/Mystery Cave State Park, 21071 County Rd 118, Preston, MN 55965, USA",TRUE
"Banning State Park MN","Fort Ridgely State Park MN","311397","11064","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Fort Ridgely State Park, 72158 Co Rd 30, Fairfax, MN 55332, USA",TRUE
"Banning State Park MN","Fort Snelling State Park MN","168874","5729","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Fort Snelling State Park, 101 Snelling Lake Road, St Paul, MN 55111, USA",TRUE
